date,outside,formula,inside,delta_t
2024-05-10,25,F1,25,0
2024-05-12,25,F1,25,0
2024-05-10,25,F2,25,0
2024-05-12,25,F2,25,0
2024-05-10,25,F3,23,2
2024-05-12,25,F3,24,1
2024-05-10,25,F4,22,3
2024-05-12,25,F4,22,3
2024-05-10,25,F5,23,2
2024-05-12,25,F5,23,2
